well_id,well_name,group_name
44775,Rufus 2,Pumping Unit Wells
44778,Schneider A 2,Pumping Unit Wells
44779,Farms 19 3,Pumping Unit Wells
44780,Vogler 4224,Pumping Unit Wells
44781,Cook 22 1,Pumping Unit Wells
44782,Slaughter 19B 1,Pumping Unit Wells
44783,Oneil 4 1,Pumping Unit Wells
44786,Abraxas 27 2,Pumping Unit Wells
44787,Slaughter 74E 1,Pumping Unit Wells
44788,Rufus 6,Pumping Unit Wells
44789,Cook 22 5,Pumping Unit Wells
44791,Nichols 24 3,Pumping Unit Wells
44793,Moses Trust 69 2,Pumping Unit Wells
44794,Slaughter 74F 1,Pumping Unit Wells
44795,Slaughter 29C 1,Pumping Unit Wells
44797,Abraxas 31B 3,Pumping Unit Wells
44798,Cook 22 3,Pumping Unit Wells
44800,Holcomb 45 2,Pumping Unit Wells
44801,Cook 21 4,Pumping Unit Wells
44802,Butchee 22A 1,Pumping Unit Wells
44803,Abraxas 20 1,Pumping Unit Wells
44805,Hale 42 1,Pumping Unit Wells
44806,Slaughter 75D 1,Pumping Unit Wells
44807,Abraxas 20 2,Pumping Unit Wells
44808,Nance 19 2,Pumping Unit Wells
44809,Lemon Farms Unit 14 1,Pumping Unit Wells
44811,McCloskey 42 2,Pumping Unit Wells
44813,Slaughter 82A 1,Pumping Unit Wells
44814,Rufus 3,Pumping Unit Wells
44815,Butchee 21 5,Pumping Unit Wells
44816,Cook 22 6,Pumping Unit Wells
44818,Rufus 9,Pumping Unit Wells
44819,Nugget 1,Pumping Unit Wells
44820,Slaughter 87B 4R,Pumping Unit Wells
44822,Bauer 4,Pumping Unit Wells
44823,Stone 69 1,Pumping Unit Wells
44824,Hale 1512,Pumping Unit Wells
44825,Slaughter 29E 1,Pumping Unit Wells
44826,Snell 2,Pumping Unit Wells
44827,Richards 44A 1,Pumping Unit Wells
44828,Rawlings 43 1,Pumping Unit Wells
44829,Elma L Slaughter E 2,Pumping Unit Wells
44830,Abraxas 31A 3,Pumping Unit Wells
44832,Vogler 4214,Pumping Unit Wells
44833,Cook 21 5,Pumping Unit Wells
44834,Cook 21 1,Pumping Unit Wells
